,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Pacific Red,Pacific Red,5,3,2,60.00%,4,1,20.6,25,52,2058,2090,667,43,34:53:00,34:29:00,35:28:00,-00:58
Digital Company,Digital Company,5,1,4,20.00%,2,3,18,29.4,46,1725,1801,583,26,33:32:00,47:39:00,30:00:00,17:38
Fire Dragoon,Fire Dragoon,5,3,2,60.00%,1,4,22.4,24.6,55.2,2109,2178,789,36,39:31:00,41:22:00,36:44:00,4:38
Union Gaming Bolivia,Union Gaming Bolivia,5,3,2,60.00%,1,4,37.4,25.8,82,2307,2648,686,29,33:47:00,26:23:00,44:53:00,#VALUE!
ANTI-VIRUS,ANTI-VIRUS,5,4,1,80.00%,2,3,35.8,31.8,76.8,2377,2505,932,32,42:19:00,47:10:00,22:55,24:15:00
Gamer Star Vip,Gamer Star Vip,5,3,2,60.00%,2,3,39.4,28.8,87.8,2430,2710,1056,32,45:53:00,31:36:00,1:07:18,#VALUE!
458 Production,458 Production,5,2,3,40.00%,1,4,21,31.4,56.2,2114,2199,865,30,42:20:00,48:58:00,37:55:00,11:03
QO diciples,QO diciples,5,4,1,80.00%,2,3,27,16.4,48.4,2392,2411,532,33,24:17:00,23:04,29:07:00,#VALUE!
Hawk Gaming,Hawk Gaming,5,1,4,20.00%,2,3,16.6,26.8,34.8,1843,1935,579,47,28:36:00,20:13,30:42:00,#VALUE!
PRODOTA GAMING,PRODOTA GAMING,5,2,3,40.00%,3,2,25,27.2,53.8,2055,2006,503,25,28:59:00,30:17:00,28:07:00,2:09
TEAM Koala Net,TEAM Koala Net,4,2,2,50.00%,2,2,31.75,35.25,68.25,1874,2178,557,23,34:30:00,38:36:00,30:23:00,8:13
YoungMinds,YoungMinds,4,2,2,50.00%,2,2,26.25,25.75,51.75,2050,2209,672,48,35:09:00,40:41:00,29:38:00,11:02
Union Gaming,Union Gaming,4,0,4,0.00%,4,0,16.75,32.75,34.5,1622,1700,479,29,30:51:00,-,30:51:00,-
Hala Ares,Hala Ares,4,2,2,50.00%,2,2,23,28.25,52.5,2026,2123,676,30,35:19:00,39:26:00,31:11:00,8:15
RRnatics,RRnatics,4,2,2,50.00%,4,0,24.75,20.75,55,1986,2148,664,40,33:54:00,39:05:00,28:44:00,10:21
nasty potatoes,nasty potatoes,4,2,2,50.00%,2,2,19.75,18.25,43.5,1986,2227,720,28,35:10:00,32:21:00,37:59:00,#VALUE!
DailyHub,DailyHub,4,2,2,50.00%,2,2,33.25,34,78.5,2179,2446,1010,32,47:36:00,54:31:00,40:41:00,13:50
StarGameRage,StarGameRage,4,2,2,50.00%,2,2,16.5,24.25,38.5,1997,2087,621,25,30:36:00,39:06:00,22:06,16:59
Get Out Your 5,Get Out Your 5,4,2,2,50.00%,1,3,21,17.25,40.75,1884,1906,389,41,25:10:00,26:02:00,24:19:00,1:42
Alpha Gaming,Alpha Gaming,3,1,2,33.33%,2,1,36.67,41.67,73.67,2265,2434,1142,33,53:35:00,51:43:00,54:31:00,#VALUE!
XIAODIAN,XIAODIAN,3,1,2,33.33%,2,1,18.33,31.33,44,1867,2130,864,21,39:30:00,59:14:00,29:39:00,29:35:00
Destiny Gaming,Destiny Gaming,3,1,2,33.33%,1,2,19.67,42.33,52.33,1715,1694,613,21,36:44:00,1:00:55,24:39:00,36:15:00
Mythical Dreams,Mythical Dreams,3,2,1,66.67%,3,0,24.67,22,44.67,2295,2122,443,26,25:33:00,21:09,34:21:00,#VALUE!
#NAME?,#NAME?,3,1,2,33.33%,1,2,17,22.33,31.33,2095,2110,998,29,43:22:00,44:17:00,42:54:00,1:22
Uncle Blink,Uncle Blink,3,3,0,100.00%,2,1,33.67,4.67,72.33,2583,2454,648,68,32:04:00,32:04:00,-,-
Chicken Rice 1,Chicken Rice 1,3,1,2,33.33%,1,2,15,21.67,35,1708,1622,406,19,28:01:00,21:27,31:18:00,#VALUE!
Click And Seach,Click And Seach,3,1,2,33.33%,0,3,28,33.33,56,2154,2395,928,25,42:25:00,48:19:00,39:28:00,8:51
Mineski Malaysia,Mineski Malaysia,3,1,2,33.33%,0,3,14.67,19.33,41.67,1691,1642,420,31,26:32:00,28:56:00,25:20:00,3:35
anthrax,anthrax,3,2,1,66.67%,1,2,25.33,20,52.33,2127,2185,556,48,29:37:00,24:37:00,39:39:00,#VALUE!
TORUS GAMING,TORUS GAMING,3,2,1,66.67%,3,0,27,12,58.67,2276,2029,559,35,31:05:00,26:10:00,40:57:00,#VALUE!
Team Bibu,Team Bibu,3,1,2,33.33%,3,0,32,36.33,78,2218,2137,1121,31,53:41:00,47:40:00,56:41:00,#VALUE!
Language Barrier Gaming,Language Barrier Gaming,3,2,1,66.67%,2,1,23.67,26.67,43.33,2233,2096,554,23,28:43:00,30:13:00,25:43:00,4:30
LanCenter NicolNet,LanCenter NicolNet,3,2,1,66.67%,1,2,30.33,31.33,60,2178,2407,714,26,34:47:00,38:33:00,27:15:00,11:18
ANARCHY,ANARCHY,3,1,2,33.33%,2,1,22.33,30.67,47.33,1949,2119,730,48,38:18:00,45:50:00,34:32:00,11:18
Kindred Spirits,Kindred Spirits,3,2,1,66.67%,2,1,23.33,22,43,2373,2186,609,30,30:20:00,19:24,52:12:00,#VALUE!
Riptide Dota 2,Riptide Dota 2,3,2,1,66.67%,0,3,31.67,30,77,2213,2085,1015,20,46:04:00,56:41:00,24:51:00,31:50:00
RevengeSpirit-Reborn,RevengeSpirit-Reborn,3,1,2,33.33%,1,2,26.67,25,60,2082,2244,687,55,39:13:00,22:59,47:20:00,#VALUE!
Harlie is Back!,Harlie is Back!,3,1,2,33.33%,0,3,36.67,40.67,80.33,2010,2341,1132,62,55:38:00,1:16:04,45:25:00,30:38:00
Veni Vidi Vici,Veni Vidi Vici,2,1,1,50.00%,0,2,34,33.5,85.5,1990,2232,517,29,37:57:00,39:55:00,35:59:00,3:56
Sacola de lixo,Sacola de lixo,2,0,2,0.00%,0,2,7.5,19,18.5,1728,1666,535,28,27:50:00,-,27:50:00,-
Team Anonymous,Team Anonymous,2,1,1,50.00%,2,0,18.5,21.5,40.5,1638,1752,349,36,23:25,17:23,29:27:00,#VALUE!
Blaze Net,Blaze Net,2,0,2,0.00%,1,1,16,34.5,24,1712,1866,508,28,29:47:00,-,29:47:00,-
Feed Squad X,Feed Squad X,2,1,1,50.00%,1,1,19.5,37,54.5,2033,1994,333,32,25:20:00,25:18:00,25:22:00,-00:04
Eagles of Dead,Eagles of Dead,2,1,1,50.00%,2,0,21.5,22.5,40,1698,1983,438,29,26:19:00,36:45:00,15:54,20:51
Unknown Force,Unknown Force,2,0,2,0.00%,0,2,35.5,36,74,1976,1986,1000,23,51:32:00,-,51:32:00,-
Meraki- Gaming,Meraki- Gaming,2,1,1,50.00%,2,0,22,32.5,55,1705,2114,552,28,33:39:00,39:14:00,28:05:00,11:09
